pack_index,x1,y1,x2,y2,battery_count,expected,ok,card_conf
0,168,74,311,286,6,2,0,1.000
1,119,0,330,6,6,2,0,1.000
2,29,0,381,13,6,2,0,1.000
3,0,0,147,6,6,2,0,1.000
4,84,0,266,6,6,2,0,1.000
5,0,0,202,6,6,2,0,1.000
6,316,0,522,6,6,2,0,1.000
7,375,0,576,6,6,2,0,1.000
8,0,0,80,6,6,2,0,1.000
9,180,0,385,6,6,2,0,1.000
10,292,93,498,279,6,2,0,1.000
11,339,62,562,266,6,2,0,1.000
12,256,0,464,6,6,2,0,1.000
13,99,104,296,292,6,2,0,1.000
14,0,0,120,45,6,2,0,1.000
15,0,162,355,530,6,2,0,1.000
16,0,93,153,281,6,2,0,1.000
17,67,138,474,528,6,2,0,1.000
18,234,70,453,277,6,2,0,1.000
19,201,75,378,281,6,2,0,1.000
